file,mode,seq,omp,naive,cuda
brainq.tns,0,0.884667020,0.291154660,0.089070444,0.069346272
brainq.tns,1,0.887891071,0.294058690,0.170936841,0.146824249
brainq.tns,2,0.913388313,0.294047792,0.062257608,0.048471168
brainq.fixed.tns,0,0.120749805,0.039794113,0.008834398,0.007008643
brainq.fixed.tns,1,0.118761061,0.047082848,0.094376419,0.078298230
brainq.fixed.tns,2,0.121110825,0.045027893,0.008268339,0.006692802
nell2.tns,0,6.703981596,2.206185935,0.782498706,0.742301437
nell2.tns,1,6.613294633,2.160032572,0.738828856,0.712740231
nell2.tns,2,7.068015655,2.196270249,0.847582702,0.721533631
delicious.tns,0,15.510791694,4.352747880,#N/A,#N/A
delicious.tns,1,17.139088923,4.401387228,1.485408351,1.444407075
delicious.tns,2,13.566259162,4.051134266,1.033500487,0.983395482
nell1.tns,0,14.629773184,4.485312473,#N/A,#N/A
nell1.tns,1,14.013295694,4.366256305,#N/A,#N/A
nell1.tns,2,22.006838899,5.405719305,1.774939358,1.689653370
3D_99883309.dat,0,9.565253312,2.839461899,0.820350254,0.775531682
3D_99883309.dat,1,9.572280445,2.830581306,0.820448314,0.775788380
3D_99883309.dat,2,9.556991043,2.829410974,0.820675586,0.775967360
3D_124996124.dat,0,14.336430499,3.870285588,#N/A,#N/A
3D_124996124.dat,1,13.809745941,3.852861669,#N/A,#N/A
3D_124996124.dat,2,13.885826847,3.824071646,#N/A,#N/A
