file,mode,seq,omp,cuda,naive
brainq.fixed.tns,0,0.120933905,0.040015007,0.007003634,0.008836866
brainq.fixed.tns,1,0.119600853,0.050211809,0.077032169,0.092733025
brainq.fixed.tns,2,0.121223907,0.045260340,0.006587808,0.008128439
nell2.tns,0,6.803685312,2.480241681,0.730552720,0.769635677
nell2.tns,1,6.638346290,2.179889109,0.701037698,0.725982148
nell2.tns,2,7.000509231,2.177934673,0.710046771,0.833180775
delicious.tns,0,15.533782491,4.392687507,nan,nan
delicious.tns,1,16.219048428,4.380949423,1.424319740,1.461933490
delicious.tns,2,13.639051956,4.040976291,0.968541177,1.016036903
nell1.tns,0,14.741034083,4.485104231,nan,nan
nell1.tns,1,14.006583620,4.367293693,nan,nan
nell1.tns,2,22.228266404,5.414814649,1.670966135,1.749225993
3D_124996124.dat,0,13.824619560,3.831643483,nan,nan
3D_124996124.dat,1,13.740017060,3.821809030,nan,nan
3D_124996124.dat,2,13.890784158,3.841568575,nan,nan
3D_99883309.dat,0,9.581654527,2.836788043,0.764410225,0.807062698
3D_99883309.dat,1,9.565152325,2.843623654,0.764107248,0.806889845
3D_99883309.dat,2,9.593824312,2.839416695,0.776215518,0.820017523
