file,mode,nthx,cuda,naive
brainq.fixed.tns,0,8,0.009688848,0.010272835
brainq.fixed.tns,0,16,0.008257245,0.009227026
brainq.fixed.tns,0,32,0.007003634,0.008836866
brainq.fixed.tns,0,64,0.003303445,0.003745394
brainq.fixed.tns,1,8,0.028582092,0.031948889
brainq.fixed.tns,1,16,0.043678108,0.051210075
brainq.fixed.tns,1,32,0.077032169,0.092733025
brainq.fixed.tns,1,64,0.077075110,0.084689103
brainq.fixed.tns,2,8,0.009626472,0.009854668
brainq.fixed.tns,2,16,0.008113785,0.008718663
brainq.fixed.tns,2,32,0.006587808,0.008128439
brainq.fixed.tns,2,64,0.003108551,0.003470668
delicious.tns,0,8,nan,nan
delicious.tns,0,16,nan,nan
delicious.tns,0,32,nan,nan
delicious.tns,0,64,0.744985806,0.713637280
delicious.tns,1,8,nan,nan
delicious.tns,1,16,nan,nan
delicious.tns,1,32,1.424319740,1.461933490
delicious.tns,1,64,0.784294879,0.801107280
delicious.tns,2,8,nan,nan
delicious.tns,2,16,nan,nan
delicious.tns,2,32,0.968541177,1.016036903
delicious.tns,2,64,0.467741313,0.480084943
nell1.tns,0,8,nan,nan
nell1.tns,0,16,nan,nan
nell1.tns,0,32,nan,nan
nell1.tns,0,64,0.621455925,0.557136166
nell1.tns,1,8,nan,nan
nell1.tns,1,16,nan,nan
nell1.tns,1,32,nan,nan
nell1.tns,1,64,0.563248841,0.495427694
nell1.tns,2,8,nan,nan
nell1.tns,2,16,nan,nan
nell1.tns,2,32,1.670966135,1.749225993
nell1.tns,2,64,0.989164570,0.984440983
nell2.tns,0,8,0.979796569,0.924396646
nell2.tns,0,16,0.857013557,0.828119482
nell2.tns,0,32,0.730552720,0.769635677
nell2.tns,0,64,0.384948244,0.400238514
nell2.tns,1,8,nan,nan
nell2.tns,1,16,0.843060401,0.785382223
nell2.tns,1,32,0.701037698,0.725982148
nell2.tns,1,64,0.360169593,0.370822787
nell2.tns,2,8,0.825916168,0.917222542
nell2.tns,2,16,0.751909305,0.853894513
nell2.tns,2,32,0.710046771,0.833180775
nell2.tns,2,64,0.367970709,0.405763727
3D_99883309.dat,0,8,nan,nan
3D_99883309.dat,0,16,0.923302347,0.850317310
3D_99883309.dat,0,32,0.764410225,0.807062698
3D_99883309.dat,0,64,0.357503242,0.373899857
3D_99883309.dat,1,8,nan,nan
3D_99883309.dat,1,16,0.923276767,0.850330804
3D_99883309.dat,1,32,0.764107248,0.806889845
3D_99883309.dat,1,64,0.356984076,0.373271205
3D_99883309.dat,2,8,nan,nan
3D_99883309.dat,2,16,0.923582288,0.850959591
3D_99883309.dat,2,32,0.776215518,0.820017523
3D_99883309.dat,2,64,0.357290056,0.373712508
3D_124996124.dat,0,8,nan,nan
3D_124996124.dat,0,16,nan,nan
3D_124996124.dat,0,32,nan,nan
3D_124996124.dat,0,64,0.458834037,0.414014645
3D_124996124.dat,1,8,nan,nan
3D_124996124.dat,1,16,nan,nan
3D_124996124.dat,1,32,nan,nan
3D_124996124.dat,1,64,0.458033737,0.413714306
3D_124996124.dat,2,8,nan,nan
3D_124996124.dat,2,16,nan,nan
3D_124996124.dat,2,32,nan,nan
3D_124996124.dat,2,64,0.457870838,0.413520212
