file,mode,X.nnz,X.ndims,Y.nnz,Y.ndims,omp2,omp4,omp6,omp8
brainq.fixed.tns,0,1497992,"[60, 22870, 9]",185758,"[16, 22870, 9]",0.080003589,0.061424445,0.052893767,0.039801443
brainq.fixed.tns,1,1497992,"[60, 22870, 9]",104,"[60, 16, 9]",0.096598541,0.051281403,0.055020850,0.046400245
brainq.fixed.tns,2,1497992,"[60, 22870, 9]",234928,"[60, 22870, 16]",0.087268645,0.046659352,0.054184095,0.043580455
3D_99883309.dat,0,99883309,"[10000, 10000, 10000]",31265752,"[16, 10000, 10000]",6.276711704,3.215040265,3.572563788,2.840604332
3D_99883309.dat,1,99883309,"[10000, 10000, 10000]",31272005,"[10000, 16, 10000]",6.279327192,3.838146316,3.667205997,2.855286677
3D_99883309.dat,2,99883309,"[10000, 10000, 10000]",31243944,"[10000, 10000, 16]",6.290814307,3.193035372,3.713247779,2.845158778
nell2.tns,0,76879419,"[12092, 9184, 28818]",16562257,"[16, 9184, 28818]",4.519078651,3.337704141,2.656721160,2.201858732
nell2.tns,1,76879419,"[12092, 9184, 28818]",21483436,"[12092, 16, 28818]",4.546246871,2.295137693,2.753605323,2.310884099
nell2.tns,2,76879419,"[12092, 9184, 28818]",337365,"[12092, 9184, 16]",4.716960042,2.377097275,2.671359585,2.155332316
3D_124996124.dat,0,124996124,"[50000, 50000, 50000]",99053150,"[16, 50000, 50000]",9.265123339,4.703708763,4.900262271,3.895095794
3D_124996124.dat,1,124996124,"[50000, 50000, 50000]",99036389,"[50000, 16, 50000]",9.095184115,4.640281412,4.897936764,3.834795317
3D_124996124.dat,2,124996124,"[50000, 50000, 50000]",99071050,"[50000, 50000, 16]",9.200653103,4.705297383,5.025077067,3.864485763
delicious.tns,0,140126181,"[532924, 17262471, 2480308]",72409521,"[16, 17262471, 2480308]",10.065644015,5.156536020,5.445439346,4.361632307
delicious.tns,1,140126181,"[532924, 17262471, 2480308]",37427020,"[532924, 16, 2480308]",10.591775002,5.439370416,5.404072090,4.398682496
delicious.tns,2,140126181,"[532924, 17262471, 2480308]",47257452,"[532924, 17262471, 16]",8.869706013,4.519209871,5.029725541,4.062493127
nell1.tns,0,143599552,"[2902330, 2143368, 25495389]",113299246,"[16, 2143368, 25495389]",10.001841967,5.216547207,5.433265780,4.472399453
