3
100 80 60
1 4 1 1.0000000000000000e+00
1 4 3 1.0000000000000000e+00
1 4 8 2.0000000000000000e+00
1 4 9 3.0000000000000000e+00
1 4 27 2.0000000000000000e+00
1 4 38 1.0000000000000000e+00
1 4 40 1.0000000000000000e+00
1 4 53 1.0000000000000000e+00
1 4 54 1.0000000000000000e+00
1 5 1 1.0000000000000000e+00
1 5 9 2.0000000000000000e+00
1 5 19 1.0000000000000000e+00
1 5 27 1.0000000000000000e+00
1 5 43 1.0000000000000000e+00
1 6 1 1.0000000000000000e+00
1 6 3 1.0000000000000000e+00
1 6 8 1.0000000000000000e+00
1 6 9 1.0000000000000000e+00
1 6 23 1.0000000000000000e+00
1 6 53 2.0000000000000000e+00
1 6 54 1.0000000000000000e+00
1 8 1 2.0000000000000000e+00
1 8 3 1.0000000000000000e+00
1 8 8 2.0000000000000000e+00
1 8 9 2.0000000000000000e+00
1 8 10 1.0000000000000000e+00
1 8 19 2.0000000000000000e+00
1 8 26 2.0000000000000000e+00
1 8 27 1.0000000000000000e+00
1 8 35 2.0000000000000000e+00
1 8 53 3.0000000000000000e+00
1 9 2 1.0000000000000000e+00
1 9 5 4.0000000000000000e+00
1 9 17 1.0000000000000000e+00
1 9 19 2.0000000000000000e+00
1 9 32 2.0000000000000000e+00
1 9 36 1.0000000000000000e+00
1 9 38 1.0000000000000000e+00
1 9 39 3.0000000000000000e+00
1 9 48 1.0000000000000000e+00
1 9 53 5.0000000000000000e+00
1 9 54 3.0000000000000000e+00
1 9 57 1.0000000000000000e+00
1 12 5 1.0000000000000000e+00
1 12 37 1.0000000000000000e+00
1 13 8 1.0000000000000000e+00
1 14 3 1.0000000000000000e+00
1 14 8 2.0000000000000000e+00
1 14 9 1.0000000000000000e+00
1 14 19 2.0000000000000000e+00
1 14 27 2.0000000000000000e+00
1 14 37 1.0000000000000000e+00
1 14 53 1.0000000000000000e+00
1 18 19 1.0000000000000000e+00
1 20 1 1.0000000000000000e+00
1 20 5 2.0000000000000000e+00
1 20 17 1.0000000000000000e+00
1 20 19 3.0000000000000000e+00
1 20 20 3.0000000000000000e+00
1 20 32 3.0000000000000000e+00
1 20 36 2.0000000000000000e+00
1 20 39 3.0000000000000000e+00
1 20 53 3.0000000000000000e+00
1 20 54 3.0000000000000000e+00
1 23 5 2.0000000000000000e+00
1 23 19 1.0000000000000000e+00
1 23 20 1.0000000000000000e+00
1 23 24 1.0000000000000000e+00
1 23 39 4.0000000000000000e+00
1 25 5 2.0000000000000000e+00
1 25 19 1.0000000000000000e+00
1 25 20 3.0000000000000000e+00
1 25 36 1.0000000000000000e+00
1 25 38 1.0000000000000000e+00
1 25 53 1.0000000000000000e+00
1 25 54 2.0000000000000000e+00
1 26 53 1.0000000000000000e+00
1 30 1 2.0000000000000000e+00
1 30 3 1.0000000000000000e+00
1 30 8 1.0000000000000000e+00
1 30 9 3.0000000000000000e+00
1 30 19 1.0000000000000000e+00
1 30 26 2.0000000000000000e+00
1 30 27 2.0000000000000000e+00
1 30 35 1.0000000000000000e+00
1 30 44 1.0000000000000000e+00
1 33 41 1.0000000000000000e+00
1 37 39 2.0000000000000000e+00
1 38 1 1.0000000000000000e+00
1 38 3 1.0000000000000000e+00
1 38 5 5.0000000000000000e+00
1 38 8 1.0000000000000000e+00
1 38 9 2.0000000000000000e+00
1 38 17 1.0000000000000000e+00
1 38 19 4.0000000000000000e+00
1 38 20 7.0000000000000000e+00
1 38 24 2.0000000000000000e+00
1 38 26 1.0000000000000000e+00
1 38 27 1.0000000000000000e+00
1 38 32 3.0000000000000000e+00
1 38 36 1.0000000000000000e+00
1 38 38 6.0000000000000000e+00
1 38 39 4.0000000000000000e+00
1 38 44 1.0000000000000000e+00
1 38 53 7.0000000000000000e+00
1 38 54 2.0000000000000000e+00
1 39 5 4.0000000000000000e+00
1 39 19 4.0000000000000000e+00
1 39 20 4.0000000000000000e+00
1 39 24 2.0000000000000000e+00
1 39 38 1.0000000000000000e+00
1 39 39 2.0000000000000000e+00
1 39 53 3.0000000000000000e+00
1 39 54 2.0000000000000000e+00
1 40 20 1.0000000000000000e+00
1 44 5 1.0000000000000000e+00
1 45 3 2.0000000000000000e+00
1 45 5 1.0000000000000000e+00
1 45 9 2.0000000000000000e+00
1 45 19 1.0000000000000000e+00
1 45 26 1.0000000000000000e+00
1 49 53 1.0000000000000000e+00
1 50 5 1.0000000000000000e+00
1 50 8 1.0000000000000000e+00
1 50 17 3.0000000000000000e+00
1 50 19 2.0000000000000000e+00
1 50 20 1.0000000000000000e+00
1 50 32 2.0000000000000000e+00
1 50 38 2.0000000000000000e+00
1 50 39 4.0000000000000000e+00
1 50 51 1.0000000000000000e+00
1 50 54 3.0000000000000000e+00
1 50 57 1.0000000000000000e+00
1 52 27 1.0000000000000000e+00
1 53 54 1.0000000000000000e+00
1 54 9 2.0000000000000000e+00
1 54 35 1.0000000000000000e+00
1 54 53 1.0000000000000000e+00
1 55 1 1.0000000000000000e+00
1 55 3 1.0000000000000000e+00
1 55 8 5.0000000000000000e+00
1 55 9 3.0000000000000000e+00
1 55 19 3.0000000000000000e+00
1 55 26 2.0000000000000000e+00
1 55 27 3.0000000000000000e+00
1 55 35 1.0000000000000000e+00
1 55 37 1.0000000000000000e+00
1 55 53 3.0000000000000000e+00
1 56 5 2.0000000000000000e+00
1 56 17 2.0000000000000000e+00
1 56 19 2.0000000000000000e+00
1 56 20 2.0000000000000000e+00
1 56 22 1.0000000000000000e+00
1 56 32 3.0000000000000000e+00
1 56 53 2.0000000000000000e+00
1 56 54 2.0000000000000000e+00
1 58 32 1.0000000000000000e+00
1 58 38 1.0000000000000000e+00
1 58 39 1.0000000000000000e+00
1 59 5 1.0000000000000000e+00
1 59 17 1.0000000000000000e+00
1 59 20 2.0000000000000000e+00
1 59 24 2.0000000000000000e+00
1 59 32 1.0000000000000000e+00
1 59 36 1.0000000000000000e+00
1 59 53 1.0000000000000000e+00
1 60 1 1.0000000000000000e+00
1 60 3 1.0000000000000000e+00
1 60 8 1.0000000000000000e+00
1 60 9 2.0000000000000000e+00
1 60 19 2.0000000000000000e+00
1 60 26 2.0000000000000000e+00
1 60 27 2.0000000000000000e+00
1 60 35 1.0000000000000000e+00
1 60 44 1.0000000000000000e+00
1 60 53 4.0000000000000000e+00
1 61 8 1.0000000000000000e+00
1 61 9 2.0000000000000000e+00
1 61 19 1.0000000000000000e+00
1 61 27 2.0000000000000000e+00
1 64 5 5.0000000000000000e+00
1 64 13 1.0000000000000000e+00
1 64 19 2.0000000000000000e+00
1 64 20 1.0000000000000000e+00
1 64 32 3.0000000000000000e+00
1 64 36 1.0000000000000000e+00
1 64 38 1.0000000000000000e+00
1 64 39 1.0000000000000000e+00
1 64 53 1.0000000000000000e+00
1 64 54 3.0000000000000000e+00
1 65 21 1.0000000000000000e+00
1 65 39 2.0000000000000000e+00
1 65 53 1.0000000000000000e+00
1 66 19 1.0000000000000000e+00
1 66 26 1.0000000000000000e+00
1 66 27 2.0000000000000000e+00
1 70 20 3.0000000000000000e+00
1 70 38 1.0000000000000000e+00
1 71 5 4.0000000000000000e+00
1 71 8 1.0000000000000000e+00
1 71 9 1.0000000000000000e+00
1 71 12 1.0000000000000000e+00
1 71 17 3.0000000000000000e+00
1 71 19 4.0000000000000000e+00
1 71 20 2.0000000000000000e+00
1 71 24 1.0000000000000000e+00
1 71 26 1.0000000000000000e+00
1 71 27 1.0000000000000000e+00
1 71 32 4.0000000000000000e+00
